Category: All categories

Week,AI bubble: (United States),AI Startup: (United States),prompt engineering: (United States),AI roadmap: (United States),langchain: (United States)
2023-07-23,3,5,16,0,40
2023-07-30,2,5,14,1,35
2023-08-06,2,3,12,0,37
2023-08-13,2,4,12,1,31
2023-08-20,1,4,10,0,31
2023-08-27,1,4,11,0,31
2023-09-03,2,5,9,0,29
2023-09-10,2,5,12,1,31
2023-09-17,3,5,9,1,31
2023-09-24,1,6,11,1,29
2023-10-01,2,5,10,0,31
2023-10-08,2,5,10,1,35
2023-10-15,2,4,10,0,34
2023-10-22,2,5,9,1,32
2023-10-29,2,5,9,1,35
2023-11-05,2,5,10,0,33
2023-11-12,2,5,10,1,29
2023-11-19,2,4,9,0,24
2023-11-26,2,5,17,0,27
2023-12-03,2,6,12,1,29
2023-12-10,2,4,11,1,32
2023-12-17,2,4,11,0,27
2023-12-24,2,3,10,1,19
2023-12-31,1,5,12,1,24
2024-01-07,3,8,10,1,29
2024-01-14,2,6,10,1,30
2024-01-21,3,5,12,1,35
2024-01-28,3,6,12,1,37
2024-02-04,4,6,12,1,38
2024-02-11,3,8,12,1,38
2024-02-18,4,7,13,1,40
2024-02-25,5,8,13,1,38
2024-03-03,4,7,14,1,40
2024-03-10,4,8,15,1,40
2024-03-17,4,7,11,2,40
2024-03-24,3,8,12,1,40
2024-03-31,3,7,12,1,42
2024-04-07,4,7,11,1,38
2024-04-14,4,6,14,1,42
2024-04-21,3,6,14,2,43
2024-04-28,3,8,11,1,39
2024-05-05,3,6,12,2,41
2024-05-12,3,8,13,3,43
2024-05-19,4,8,12,2,41
2024-05-26,3,8,14,2,38
2024-06-02,5,8,14,1,41
2024-06-09,3,8,13,2,41
2024-06-16,5,7,14,1,38
2024-06-23,4,7,13,1,38
2024-06-30,3,6,11,1,31
2024-07-07,6,7,12,1,37
2024-07-14,4,8,10,2,38
2024-07-21,4,9,11,2,33
2024-07-28,4,6,10,2,33
2024-08-04,6,7,11,2,32
2024-08-11,3,7,10,1,30
2024-08-18,3,7,10,1,33
2024-08-25,3,7,10,2,29
2024-09-01,4,7,11,2,28
2024-09-08,3,8,11,1,30
2024-09-15,3,8,12,1,30
2024-09-22,4,8,10,2,31
2024-09-29,3,8,10,1,28
2024-10-06,5,8,9,2,28
2024-10-13,5,8,12,2,28
2024-10-20,5,9,14,2,29
2024-10-27,4,8,11,2,29
2024-11-03,3,7,12,2,25
2024-11-10,4,9,12,2,27
2024-11-17,5,10,13,2,28
2024-11-24,3,6,9,1,24
2024-12-01,4,10,12,2,26
2024-12-08,5,8,11,1,27
2024-12-15,4,8,11,2,26
2024-12-22,3,6,9,1,19
2024-12-29,3,5,9,2,21
2025-01-05,4,9,11,2,27
2025-01-12,3,10,13,2,29
2025-01-19,6,11,13,2,28
2025-01-26,9,17,13,3,35
2025-02-02,5,12,13,2,38
2025-02-09,4,11,13,2,36
2025-02-16,6,13,14,3,43
2025-02-23,5,12,13,2,36
2025-03-02,5,14,14,3,32
2025-03-09,6,14,14,2,36
2025-03-16,5,15,14,3,37
2025-03-23,7,13,13,3,31
2025-03-30,5,14,15,2,30
2025-04-06,5,14,20,3,31
2025-04-13,4,11,23,2,30
2025-04-20,4,14,18,2,31
2025-04-27,5,14,18,2,28
2025-05-04,6,12,20,2,28
2025-05-11,5,15,16,2,30
2025-05-18,5,21,19,3,34
2025-05-25,6,21,23,3,31
2025-06-01,8,39,33,6,39
2025-06-08,8,61,33,10,46
2025-06-15,10,64,33,10,45
2025-06-22,10,73,39,9,48
2025-06-29,13,65,34,9,45
2025-07-06,10,55,30,6,45
2025-07-13,14,77,38,9,51
2025-07-20,17,81,43,13,62
2025-07-27,20,100,54,15,82
2025-08-03,15,87,39,13,59
2025-08-10,19,74,34,12,47
2025-08-17,42,59,28,13,40
2025-08-24,26,49,27,12,34
2025-08-31,17,56,27,11,33
2025-09-07,13,38,26,7,32
2025-09-14,21,74,40,14,41
2025-09-21,27,90,41,16,42
2025-09-28,32,74,33,14,40
2025-10-05,45,19,18,3,28
2025-10-12,44,15,15,3,25
2025-10-19,37,12,10,1,16
